storeid,store
571,제일성심당
572,서홍정원
573,위더스트래블
574,카페901
575,카페코지
576,오늘은
577,도렐베이커스
578,제주스
579,크림
580,온더스톤
581,비브레이브
582,새들러하우스
583,버터모닝
584,너는파라다이스길리
585,지미스
586,새빌카페
587,만월당
588,닻
589,제주약수터
590,제주약수터
591,제주맥주
592,신설오름포장마차
593,블루버드
594,맥파이 브루어리
595,옐로우돕
596,스피닝울프
597,올댓제주
598,사우스바운더
599,싱싱잇
600,자매아지트
601,넘은 봄
602,위트레이즌
603,포차
604,혹시
605,바타타식탁
606,두모토랑
607,머뭄
608,협재1번가술집밥집
609,톡순
610,카페브루클린
611,브리즈온
612,유행회실내포차
613,달사막
614,그로라운지
615,문희
616,제스피맥주
617,마틸다
618,백록집
619,사이통닭
620,사우스캘리
621,사부작
622,더비치하우스
623,찰스앤바비
624,괸당포차
625,할라라운지
626,함덕스487
627,김민섭에쓰점에쓰
628,드링콩
629,비스트로7
630,다랑쉬
631,펍 배솔트블루
632,일도가공
633,번지없는주막
634,세화마구간
635,정글북 바이앨리스
636,카페해온
637,온에어
638,라운지38
639,홀스버드
640,머구리해물포차
641,목수포차
642,탭룸3029
643,주야진
644,숲숲 포 레스트
645,모살
646,곱다락
647,제주나누기
648,샨티
649,제주우드펍
650,이로운술상
651,빨간집
652,바이브230
653,나도섬이다
654,썬셋비치
655,제주바다다
656,주민상회
657,번개포차
658,땡큐소주방
659,멜맥집
660,중립
661,온평
662,프리즌
663,옛날옛적에
664,남문 숯불바베큐 & 치킨
665,더팩토리
666,블랙바
667,파라디스코
668,고추잡채와소파
669,봉구비어
670,협재술시
671,통나무집
672,밤도깨비
673,새마을주점
674,What The H
675,할라산
676,프레드허쉬
677,20세기소년
678,꼼보포차
679,기영상회
680,주점부리
681,페퍼로니비어
682,1943
683,전일맥주
684,수월
685,정대
686,라비타
687,원님네포장마차
